Date,Item,Store/Service,Company,Amount,Location,Who,Notes
2023-01-01,Groceries,Grocery Store,Trader Joe's,52.10,"Pacific Palisades",Mary,"Stocked up on fruits and snacks for the new year."
2023-01-01,Gas,Gas Station,Shell,36.50,"Los Angeles",John,"Filled up tank after visiting friend across town."
2023-01-02,Coffee,Cafe,Starbucks,7.75,"Pacific Palisades",John,"Morning latte before heading to construction site."
2023-01-02,Soccer Ball,Sports Store,Big 5 Sporting Goods,24.90,"Pasadena",Mike,"Mike picked a new ball for weekend practice."
2023-01-03,Headphones,Electronics Store,Best Buy,29.99,"Pacific Palisades",Mary,"Needed noise-canceling for focus during remote work."
2023-01-03,Birthday Card,Greeting Cards,Hallmark,4.49,"Irvine",Tina,"Card for a classmate’s birthday party."
2023-01-04,Ballet Shoes,Dance Supply,Ballet & More,27.50,"Pacific Palisades",Tina,"Replacing outgrown pair before next recital."
2023-01-04,Lunch Combo,Fast Food,In-N-Out,11.25,"Anaheim",John,"Grabbed quick bite returning from a site visit."
2023-01-05,Groceries,Grocery Store,Ralphs,60.34,"Pacific Palisades",Mary,"Weekly haul including cereal and fresh veggies."
2023-01-05,Pet Food,Pet Store,PetSmart,19.50,"Long Beach",Mike,"Dog kibble and a new chew toy for Spot."
2023-01-06,Coffee,Cafe,Groundwork Coffee,6.10,"Pacific Palisades",John,"Quick espresso before heading to office."
2023-01-06,Guitar Strings,Music Store,Guitar Center,9.99,"Hollywood",John,"Needed spares for nightly jam sessions."
2023-01-07,Ballet Tights,Dance Supply,Ballet & More,15.20,"Pacific Palisades",Tina,"Extra tights for upcoming performances."
2023-01-07,Gas,Gas Station,Chevron,34.60,"Burbank",John,"Filled up on way back from engineering conference."
2023-01-08,Groceries,Grocery Store,Whole Foods,65.80,"Pacific Palisades",Mary,"Organic produce and snacks for the kids."
2023-01-08,T-Shirt,Clothing Store,Gap,12.49,"Los Angeles",Mike,"Picked a cool graphic tee on a family outing."
2023-01-09,Running Shoes,Sports Store,Foot Locker,45.00,"Pacific Palisades",Mary,"Starting a fitness routine—new shoes for morning jogs."
2023-01-09,Coffee,Cafe,Starbucks,8.15,"Pasadena",John,"Iced latte during lunch break off-site."
2023-01-10,Groceries,Grocery Store,Trader Joe's,52.70,"Pacific Palisades",John,"Grabbed dinner ingredients plus extra snacks."
2023-01-10,Art Supplies,Arts & Crafts,Michaels,14.95,"Anaheim",Tina,"Poster paint for school project due Friday."
2023-01-11,Music Book,Music Store,Guitar Center,17.59,"Pacific Palisades",John,"Sheet music for new acoustic practice pieces."
2023-01-11,Burger Meal,Fast Food,McDonald's,8.20,"Irvine",Mike,"Post-soccer treat with mom while out of town."
2023-01-12,Flowers,Flower Shop,Bloom & Co.,16.45,"Pacific Palisades",Mary,"Bouquet for a friend’s birthday."
